Account address,Show boosts
@alexwitze@sciencemastodon.com,TRUE
@AntoniaJuhasz@mstdn.social,TRUE
@biancanogrady@aus.social,TRUE
@Ckatz99@mastodon.online,TRUE
@ECAlberts@journa.host,TRUE
@elakdawalla@wandering.shop,TRUE
@EstelleSErasmus@newsie.social,TRUE
@helenczerski@fediscience.org,TRUE
@inkfish@mastodon.social,TRUE
@jamesian@med-mastodon.com,TRUE
@janehu@mastodon.social,TRUE
@jenniferbillock@newsie.social,TRUE
@judeisabella@sciencemastodon.com,TRUE
@Kelcsimpkins@mstdn.social,TRUE
@laminda@mastodon.social,TRUE
@lguterman@mastodon.online,TRUE
@lizseegert@journa.host,TRUE
@lqlqlq@mas.to,TRUE
@madelineostrander@journa.host,TRUE
@meredithwadman@newsie.social,TRUE
@nijhuism@journa.host,TRUE
@PaigeBlank@journa.host,TRUE
@payaldhar@mastodon.social,TRUE
@skrishna@wandering.shop,TRUE
@SusanCunningham@journa.host,TRUE
@thatsMohrlikeit@journa.host,TRUE
@Trailanderror@scicomm.xyz,TRUE
